MP_ID,MP_formula,MP_species,MP_NE,AFLOW_ID,AFLOW_formula,AFLOW_species,AFLOW_NE
mp-2697,SrO2,"['O', 'Sr']",2,aflow:3a8b7ba885be1cf7,O2Sr1,"['O', 'Sr']",2
mp-1008617,YbAg2,"['Ag', 'Yb']",2,aflow:8e92a5daf4083c8c,Ag2Yb1,"['Ag', 'Yb']",2
mp-2221,Zr2Ag,"['Ag', 'Zr']",2,aflow:0096426c57ae3f16,Ag1Zr2,"['Ag', 'Zr']",2
mp-2348,Zr2Au,"['Au', 'Zr']",2,aflow:b7be5681f4e86792,Au1Zr2,"['Au', 'Zr']",2
mp-1018104,Zr2Cd,"['Cd', 'Zr']",2,aflow:a41ed4d2c3fc119a,Cd1Zr2,"['Cd', 'Zr']",2
mp-193,Zr2Cu,"['Cu', 'Zr']",2,aflow:d7cf31af15fb72a8,Cu1Zr2,"['Cu', 'Zr']",2
mp-266,Zr2Pd,"['Pd', 'Zr']",2,aflow:0262e761a2b03f0f,Pd1Zr2,"['Pd', 'Zr']",2
mp-395,ZrAl3,"['Al', 'Zr']",2,aflow:552d0f6689b9f474,Al3Zr1,"['Al', 'Zr']",2
mp-24286,ZrH2,"['H', 'Zr']",2,aflow:d0e80731a317f7d6,H2Zr1,"['H', 'Zr']",2
mp-570578,ZrIn3,"['In', 'Zr']",2,aflow:0637de345cdce557,In3Zr1,"['In', 'Zr']",2
mp-7188,Al2Os,"['Al', 'Os']",2,aflow:31dd23ac86927f7a,Al2Os1,"['Al', 'Os']",2
mp-2554,Al3V,"['Al', 'V']",2,aflow:dd93dda0b9957fba,Al3V1,"['Al', 'V']",2
mp-10909,AlRe2,"['Al', 'Re']",2,aflow:ed75ba31d09c3ba7,Al1Re2,"['Al', 'Re']",2
mp-1105,BaO2,"['Ba', 'O']",2,aflow:46261cca37eaf3ba,Ba1O2,"['Ba', 'O']",2
mp-12761,BeAu2,"['Au', 'Be']",2,aflow:da9e30cd2712e2a0,Au2Be1,"['Au', 'Be']",2
mp-13452,BePd2,"['Be', 'Pd']",2,aflow:859d0f1b6c94e526,Be1Pd2,"['Be', 'Pd']",2
mp-30383,Hf2Au,"['Au', 'Hf']",2,aflow:b9aa9e3ae8a13d37,Au1Hf2,"['Au', 'Hf']",2
mp-30581,Hf2Cu,"['Cu', 'Hf']",2,aflow:60bae3d49726c297,Cu1Hf2,"['Cu', 'Hf']",2
mp-11454,Hf2Pd,"['Hf', 'Pd']",2,aflow:7dc34f909dee2c1f,Hf2Pd1,"['Hf', 'Pd']",2
mp-568718,HfAl3,"['Al', 'Hf']",2,aflow:c4358a51c19fcdd9,Al3Hf1,"['Al', 'Hf']",2
mp-12693,Mg2Rh,"['Mg', 'Rh']",2,aflow:d225fa42d1b8aadd,Mg2Rh1,"['Mg', 'Rh']",2
mp-12742,MgPd3,"['Mg', 'Pd']",2,aflow:fe95068becaf5d8e,Mg1Pd3,"['Mg', 'Pd']",2
mp-11252,MnAu2,"['Au', 'Mn']",2,aflow:34b1e81ce8d9666d,Au2Mn1,"['Au', 'Mn']",2
mp-2123,Nb3Au2,"['Au', 'Nb']",2,aflow:3a36523e268b82dc,Au2Nb3,"['Au', 'Nb']",2
mp-1842,NbAl3,"['Al', 'Nb']",2,aflow:23f797ad294f2dfc,Al3Nb1,"['Al', 'Nb']",2
mp-2592,Si2Mo,"['Mo', 'Si']",2,aflow:884e7137b28e7dbf,Mo1Si2,"['Mo', 'Si']",2
mp-1620,Si2W,"['Si', 'W']",2,aflow:2d039e1be6afed3b,Si2W1,"['Si', 'W']",2
mp-1299,SiPt2,"['Pt', 'Si']",2,aflow:3ea0d57ff7b5eec3,Pt2Si1,"['Pt', 'Si']",2
mp-742,Ti2Cu,"['Cu', 'Ti']",2,aflow:102ebc4a73bc6c10,Cu1Ti2,"['Cu', 'Ti']",2
mp-13164,Ti2Pd,"['Pd', 'Ti']",2,aflow:36d63ab952f0878a,Pd1Ti2,"['Pd', 'Ti']",2
